"semantic_pair_slug","strategy","seed","run","model_count","prompt_1","prompt_2","relative_run_dir"
"butterfly_caterpillar","moead_ca","11","moead_ca1","30","a colorful butterfly with symmetric wings","a green caterpillar","checkpoints/stage3/butterfly_caterpillar/moead_ca/seed_11"
"butterfly_caterpillar","moead_ca","22","moead_ca2","30","a colorful butterfly with symmetric wings","a green caterpillar","checkpoints/stage3/butterfly_caterpillar/moead_ca/seed_22"
"butterfly_caterpillar","moead_ca","33","moead_ca3","30","a colorful butterfly with symmetric wings","a green caterpillar","checkpoints/stage3/butterfly_caterpillar/moead_ca/seed_33"
"butterfly_caterpillar","moead_ca","44","moead_ca4","30","a colorful butterfly with symmetric wings","a green caterpillar","checkpoints/stage3/butterfly_caterpillar/moead_ca/seed_44"
"butterfly_caterpillar","moead_ca","55","moead_ca5","30","a colorful butterfly with symmetric wings","a green caterpillar","checkpoints/stage3/butterfly_caterpillar/moead_ca/seed_55"
"butterfly_caterpillar","moead_mca","11","moead_mca1","30","a colorful butterfly with symmetric wings","a green caterpillar","checkpoints/stage3/butterfly_caterpillar/moead_mca/seed_11"
"butterfly_caterpillar","moead_mca","22","moead_mca2","30","a colorful butterfly with symmetric wings","a green caterpillar","checkpoints/stage3/butterfly_caterpillar/moead_mca/seed_22"
"butterfly_caterpillar","moead_mca","33","moead_mca3","30","a colorful butterfly with symmetric wings","a green caterpillar","checkpoints/stage3/butterfly_caterpillar/moead_mca/seed_33"
"butterfly_caterpillar","moead_mca","44","moead_mca4","30","a colorful butterfly with symmetric wings","a green caterpillar","checkpoints/stage3/butterfly_caterpillar/moead_mca/seed_44"
"butterfly_caterpillar","moead_mca","55","moead_mca5","30","a colorful butterfly with symmetric wings","a green caterpillar","checkpoints/stage3/butterfly_caterpillar/moead_mca/seed_55"
"cactus_maple","moead_ca","11","moead_ca1","30","a tall green cactus","a red maple tree","checkpoints/stage3/cactus_maple/moead_ca/seed_11"
"cactus_maple","moead_ca","22","moead_ca2","30","a tall green cactus","a red maple tree","checkpoints/stage3/cactus_maple/moead_ca/seed_22"
"cactus_maple","moead_ca","33","moead_ca3","30","a tall green cactus","a red maple tree","checkpoints/stage3/cactus_maple/moead_ca/seed_33"
"cactus_maple","moead_ca","44","moead_ca4","30","a tall green cactus","a red maple tree","checkpoints/stage3/cactus_maple/moead_ca/seed_44"
"cactus_maple","moead_ca","55","moead_ca5","30","a tall green cactus","a red maple tree","checkpoints/stage3/cactus_maple/moead_ca/seed_55"
"cactus_maple","moead_mca","11","moead_mca1","30","a tall green cactus","a red maple tree","checkpoints/stage3/cactus_maple/moead_mca/seed_11"
"cactus_maple","moead_mca","22","moead_mca2","30","a tall green cactus","a red maple tree","checkpoints/stage3/cactus_maple/moead_mca/seed_22"
"cactus_maple","moead_mca","33","moead_mca3","30","a tall green cactus","a red maple tree","checkpoints/stage3/cactus_maple/moead_mca/seed_33"
"cactus_maple","moead_mca","44","moead_mca4","30","a tall green cactus","a red maple tree","checkpoints/stage3/cactus_maple/moead_mca/seed_44"
"cactus_maple","moead_mca","55","moead_mca5","30","a tall green cactus","a red maple tree","checkpoints/stage3/cactus_maple/moead_mca/seed_55"
