"strategy","run","seed","n_solutions","n_non_dominated","hypervolume","spacing","evaluation_source","evaluation_steps","evaluation_repeats"
"moead_ca","moead_ca1","11","30","16","0.12193978310185383","0.006565600669334196","summary","96","4"
"moead_ca","moead_ca2","22","30","19","0.14108349459590297","0.0031723388183135205","summary","96","4"
"moead_ca","moead_ca3","33","30","20","0.12677952048916108","0.0018135760806805591","summary","96","4"
"moead_mca","moead_mca1","11","30","10","0.1350847531881012","0.00200505459601558","summary","96","4"
"moead_mca","moead_mca2","22","30","14","0.13599474536357725","0.0018130053366501053","summary","96","4"
"moead_mca","moead_mca3","33","30","8","0.11121533550707241","0.0","summary","96","4"
"moead_mrta","moead_mrta1","11","30","8","0.09450187417308076","0.006619969930029434","summary","96","4"
"moead_mrta","moead_mrta2","22","30","11","0.10109467697503405","0.0006704429673288778","summary","96","4"
"moead_mrta","moead_mrta3","33","30","9","0.09988080165363034","0.0012267213322800074","summary","96","4"
"moead_rta","moead_rta1","11","30","11","0.11049596019338237","0.0074862507984965465","summary","96","4"
"moead_rta","moead_rta2","22","30","7","0.11053082037477324","0.009258546604340084","summary","96","4"
"moead_rta","moead_rta3","33","30","20","0.10900580418251549","0.003884864609096839","summary","96","4"
