semantic_pair,semantic_pair_slug,category,strategy,method,run_count,seeds,hypervolume_mean,hypervolume_std,hypervolume_min,hypervolume_max,n_non_dominated_mean,n_non_dominated_std,n_non_dominated_min,n_non_dominated_max,spacing_mean,spacing_std,spacing_min,spacing_max,population_average_worst_similarity_mean,population_average_worst_similarity_std,population_average_worst_similarity_min,population_average_worst_similarity_max,best_max_min_similarity_mean,best_max_min_similarity_std,best_max_min_similarity_min,best_max_min_similarity_max,objective_space_extent_mean,objective_space_extent_std,objective_space_extent_min,objective_space_extent_max,similarity_extent_objective_1_mean,similarity_extent_objective_1_std,similarity_extent_objective_1_min,similarity_extent_objective_1_max,similarity_extent_objective_2_mean,similarity_extent_objective_2_std,similarity_extent_objective_2_min,similarity_extent_objective_2_max
Butterfly--Caterpillar,butterfly_caterpillar,Metamorphic relations,moead_ca,MOEA/D-CA,5,11;22;33;44;55,0.125845799887934,0.0030321371167633536,0.12234716252184352,0.13058772335077862,18.6,3.049590136395381,15.0,22.0,0.005937272779297633,0.0030396525412691457,0.0029000746504161032,0.009676501446213254,0.286903170645237,0.006567502827372271,0.2783123150467873,0.2935562322537104,0.3195461452007294,0.005576940397699224,0.31206637620925903,0.3243343234062195,0.2210039883852005,0.028146539633842574,0.17938518524169922,0.2500607818365097,0.11543742716312408,0.013660319623022886,0.09394216537475586,0.13175761699676514,0.10556656122207642,0.016025609216566962,0.08544301986694336,0.12153731286525726
Butterfly--Caterpillar,butterfly_caterpillar,Metamorphic relations,moead_mca,MOEA/D-MCA,5,11;22;33;44;55,0.12272049863141862,0.007019841952349836,0.11643100185409239,0.1334595145453772,10.2,3.420526275297414,6.0,15.0,0.001461908694860173,0.0014969207305182452,0.00017887976302045555,0.003998941587882194,0.31803309202194213,0.01219187372635032,0.2988939454158147,0.3290698856115341,0.3378504037857056,0.016242214572535104,0.3160211741924286,0.3573460876941681,0.08894013166427613,0.028545663160678594,0.06529074907302856,0.12652096152305603,0.043011021614074704,0.011699978796490283,0.029908359050750732,0.055953770875930786,0.045929110050201415,0.020758842156879974,0.01912665367126465,0.07056719064712524
Frog--Tadpole,frog_tadpole,Metamorphic relations,moead_ca,MOEA/D-CA,5,11;22;33;44;55,0.13455404222207612,0.0005217938145107054,0.13392477402679148,0.13531981149458883,18.8,2.4899799195977463,17.0,23.0,0.0036561103332062458,0.0009613691595838369,0.0024996686821837917,0.004749395948784568,0.30305566887060803,0.005892461058813231,0.2974185307820638,0.3111897190411886,0.3373785436153412,0.0027402532915409288,0.3343735635280609,0.3400977849960327,0.19160885214805604,0.014540644458890441,0.16585621237754822,0.2007049024105072,0.08317055702209472,0.008226042921087874,0.07399678230285645,0.09374397993087769,0.1084382951259613,0.013706546593836782,0.09007444977760315,0.12670812010765076
Frog--Tadpole,frog_tadpole,Metamorphic relations,moead_mca,MOEA/D-MCA,5,11;22;33;44;55,0.126107081735233,0.0043182645355835355,0.12171908107590923,0.1328502711652737,11.0,2.8284271247461903,9.0,15.0,0.0021554940657973107,0.0018735214661626028,0.0008328912693743368,0.0052081388396242245,0.31690189500649774,0.004350689130399364,0.31237638294696807,0.3234315663576126,0.33307145833969115,0.002418601160601295,0.3290020823478699,0.3350525200366974,0.0810942828655243,0.02720038384743038,0.04830220341682434,0.11696183681488037,0.04178970456123352,0.012507117439500505,0.02452242374420166,0.058181822299957275,0.03930457830429077,0.015104500948971093,0.02377977967262268,0.058780014514923096
Fish--Starfish,fish_starfish,Body-topology contrasts,moead_ca,MOEA/D-CA,5,11;22;33;44;55,0.1417441687300851,0.0069398289817332445,0.13431024142659975,0.1529494410102421,18.6,3.646916505762094,14.0,23.0,0.005149502854752389,0.004425172037956047,0.001472226565669048,0.01264389725654308,0.28090629855791727,0.014269897874056707,0.25938170750935874,0.29821245471636454,0.3289985299110413,0.01041015432051729,0.31280165910720825,0.3414194583892822,0.29238987565040586,0.02174785156687658,0.2542693018913269,0.30737149715423584,0.12234441637992859,0.009572922974328343,0.1125868558883667,0.13679957389831543,0.1700454592704773,0.019852580821189906,0.1416824460029602,0.18838387727737427
Fish--Starfish,fish_starfish,Body-topology contrasts,moead_mca,MOEA/D-MCA,5,11;22;33;44;55,0.1251842954440967,0.007474328127920255,0.11691319408600265,0.13686129039348405,12.8,6.099180272790763,3.0,18.0,0.0053470313220619,0.006052058985426899,0.0,0.01577942177638914,0.3080144705375035,0.012050169888341504,0.2966897259155909,0.3278462012608846,0.3280767560005188,0.011831583769533228,0.3174747824668884,0.34104403853416443,0.12725610733032228,0.019857069220905504,0.0929902195930481,0.14378157258033752,0.05011575818061829,0.014810985487811608,0.03178641200065613,0.0703049898147583,0.07714034914970398,0.014414467711720991,0.06120380759239197,0.09426656365394592
Snake--Bird,snake_bird,Body-topology contrasts,moead_ca,MOEA/D-CA,5,11;22;33;44;55,0.11756151019089386,0.003458599151527731,0.11452319414306356,0.12344674987370263,19.0,1.5811388300841898,17.0,21.0,0.007669036584885448,0.0051642385959788685,0.0046518646668279075,0.01681234523253024,0.2623290059963862,0.0016119463904085115,0.26124743819236756,0.2651238963007927,0.30519689321517945,0.0063103978413836075,0.2953639030456543,0.312770277261734,0.25702611207962034,0.01247109203767184,0.24379898607730865,0.27736885845661163,0.12916973531246184,0.009739224840871709,0.11747856438159943,0.14165343344211578,0.1278563767671585,0.010479566016849835,0.11599358916282654,0.1400928795337677
Snake--Bird,snake_bird,Body-topology contrasts,moead_mca,MOEA/D-MCA,5,11;22;33;44;55,0.10164900730505036,0.0037097243846734695,0.09804963647784692,0.10691909374125341,9.6,2.5099800796022267,8.0,14.0,0.0026306861204399715,0.0011094610392892253,0.0017591237853553337,0.004468321135722507,0.2884478278954824,0.007702871483126767,0.28097460269927976,0.3000311503807704,0.3033731162548065,0.008079516361807529,0.2951837182044983,0.3153393268585205,0.08069446682929993,0.012779482350298342,0.06445738673210144,0.09618431329727173,0.039697426557540896,0.010080803230928753,0.024788975715637207,0.051745593547821045,0.04099704027175903,0.007281392802439937,0.029192864894866943,0.04830905795097351
Mushroom--Coral,mushroom_coral,Growth-topology contrasts,moead_ca,MOEA/D-CA,5,11;22;33;44;55,0.16102732109450013,0.003214880530263577,0.15685047705947675,0.1651935689776849,23.4,3.5071355833500366,19.0,27.0,0.003827318792933359,0.0008729210237197312,0.002902814198279643,0.005174775377217373,0.3046717290083567,0.005595577574950674,0.29771557251612346,0.3127337614695231,0.35783693194389343,0.005659254321044457,0.3484945595264435,0.3619050979614258,0.3105267345905304,0.02136859069455741,0.2753886282444,0.33365437388420105,0.1386726975440979,0.007672653064192699,0.12887561321258545,0.1495230793952942,0.17185403704643248,0.020835365799180997,0.13499116897583008,0.18413129448890686
Mushroom--Coral,mushroom_coral,Growth-topology contrasts,moead_mca,MOEA/D-MCA,5,11;22;33;44;55,0.1433341744082325,0.0074193928207305655,0.1316037174011946,0.15088029423682858,14.2,3.7682887362833544,10.0,20.0,0.0029913843384806937,0.0006525867360297645,0.0019305144134215927,0.003574641065865112,0.34247731626033784,0.005278210137785487,0.3330500483512878,0.34528880616029106,0.3572297036647797,0.006210286734183566,0.34940969944000244,0.3650512099266052,0.08961505293846131,0.04064109629597763,0.04357600212097168,0.15353792905807495,0.04566465020179748,0.0268189405003364,0.020357638597488403,0.08129090070724487,0.04395040273666382,0.019230355604775668,0.023218363523483276,0.07224702835083008
Cactus--Maple,cactus_maple,Growth-topology contrasts,moead_ca,MOEA/D-CA,5,11;22;33;44;55,0.12720167656324718,0.0026895889218498856,0.1242650900451272,0.1299606406922562,21.2,2.16794833886788,18.0,23.0,0.0048640966150401855,0.001541200704782834,0.003093602545175899,0.006641969348007672,0.25491872837146123,0.005378922666187903,0.2505670577287674,0.26206525911887485,0.3092088460922241,0.008743503305828905,0.30062076449394226,0.32112422585487366,0.338541516661644,0.007907005884354489,0.33275824785232544,0.3518577367067337,0.18023124039173127,0.012334399720486486,0.16084425151348114,0.19404791295528412,0.15831027626991273,0.013146407397655982,0.13880608975887299,0.1719139963388443
