semantic_pair,semantic_pair_slug,category,seed,difference_definition,hypervolume_ca,hypervolume_mca,hypervolume_difference,n_non_dominated_ca,n_non_dominated_mca,n_non_dominated_difference,spacing_ca,spacing_mca,spacing_difference,population_average_worst_similarity_ca,population_average_worst_similarity_mca,population_average_worst_similarity_difference,best_max_min_similarity_ca,best_max_min_similarity_mca,best_max_min_similarity_difference,objective_space_extent_ca,objective_space_extent_mca,objective_space_extent_difference,similarity_extent_objective_1_ca,similarity_extent_objective_1_mca,similarity_extent_objective_1_difference,similarity_extent_objective_2_ca,similarity_extent_objective_2_mca,similarity_extent_objective_2_difference
Butterfly--Caterpillar,butterfly_caterpillar,Metamorphic relations,11,moead_mca_minus_moead_ca,0.12234716252184352,0.12170512989523896,-0.0006420326266045606,22,15,-7,0.004081978963014553,0.0015309059881656035,-0.002551072974848949,0.29276396135489147,0.3170880844195684,0.024324123064676906,0.3232680857181549,0.33682557940483093,0.013557493686676025,0.17938518524169922,0.06610041856765747,-0.11328476667404175,0.09394216537475586,0.04697376489639282,-0.04696840047836304,0.08544301986694336,0.01912665367126465,-0.06631636619567871
Butterfly--Caterpillar,butterfly_caterpillar,Metamorphic relations,22,moead_mca_minus_moead_ca,0.1253088754239311,0.12520466274089337,-0.0001042126830377299,19,9,-10,0.009676501446213254,0.00017887976302045555,-0.009497621683192799,0.2783123150467873,0.3290698856115341,0.050757570564746834,0.31206637620925903,0.34932631254196167,0.03725993633270264,0.2500607818365097,0.07433545589447021,-0.1757253259420395,0.13175761699676514,0.029908359050750732,-0.1018492579460144,0.11830316483974457,0.04442709684371948,-0.07387606799602509
Butterfly--Caterpillar,butterfly_caterpillar,Metamorphic relations,33,moead_mca_minus_moead_ca,0.12636191740193148,0.11643100185409239,-0.009930915547839092,16,6,-10,0.008709857918589404,0.0008155864640421108,-0.007894271454547293,0.28743351151545843,0.2988939454158147,0.011460433900356282,0.32297760248184204,0.3160211741924286,-0.006956428289413452,0.2070099264383316,0.11245307326316833,-0.09455685317516327,0.11490578949451447,0.05073845386505127,-0.0641673356294632,0.09210413694381714,0.061714619398117065,-0.030389517545700073
Butterfly--Caterpillar,butterfly_caterpillar,Metamorphic relations,44,moead_mca_minus_moead_ca,0.13058772335077862,0.11680218412149124,-0.01378553922928738,15,12,-3,0.004317950918254851,0.003998941587882194,-0.0003190093303726566,0.2935562322537104,0.31687218844890597,0.023315956195195553,0.3243343234062195,0.32973286509513855,0.005398541688919067,0.2295893430709839,0.06529074907302856,-0.16429859399795532,0.11914417147636414,0.031480759382247925,-0.08766341209411621,0.11044517159461975,0.03380998969078064,-0.07663518190383911
Butterfly--Caterpillar,butterfly_caterpillar,Metamorphic relations,55,moead_mca_minus_moead_ca,0.12462332074118532,0.1334595145453772,0.008836193804191872,21,9,-12,0.0029000746504161032,0.0007852296711904999,-0.0021148449792256032,0.2824498330553373,0.32824135621388756,0.045791523158550285,0.3150843381881714,0.3573460876941681,0.042261749505996704,0.2389747053384781,0.12652096152305603,-0.11245374381542206,0.11743739247322083,0.055953770875930786,-0.06148362159729004,0.12153731286525726,0.07056719064712524,-0.05097012221813202
Frog--Tadpole,frog_tadpole,Metamorphic relations,11,moead_mca_minus_moead_ca,0.13458731203026275,0.12171908107590923,-0.012868230954353521,18,9,-9,0.004749395948784568,0.0008328912693743368,-0.0039165046794102315,0.30276652971903484,0.3234315663576126,0.02066503663857777,0.33918094635009766,0.3334066867828369,-0.005774259567260742,0.19810286164283752,0.04830220341682434,-0.14980065822601318,0.08511954545974731,0.02452242374420166,-0.060597121715545654,0.11298331618309021,0.02377977967262268,-0.08920353651046753
Frog--Tadpole,frog_tadpole,Metamorphic relations,22,moead_mca_minus_moead_ca,0.1342556431472266,0.1254484121474997,-0.008807230999726912,17,9,-8,0.003372041042575481,0.0052081388396242245,0.0018360977970487435,0.30633490681648257,0.3135048339764277,0.007169927159945133,0.338766485452652,0.3290020823478699,-0.009764403104782104,0.19841837882995605,0.07331430912017822,-0.12510406970977783,0.08721071481704712,0.038847655057907104,-0.048363059759140015,0.11120766401290894,0.03446665406227112,-0.07674100995063782
Frog--Tadpole,frog_tadpole,Metamorphic relations,33,moead_mca_minus_moead_ca,0.13468267041151094,0.1328502711652737,-0.0018323992462372374,19,15,-4,0.0045450249741286804,0.0008921534098972714,-0.0036528715642314092,0.29756865799427035,0.31237638294696807,0.01480772495269772,0.33447393774986267,0.33474332094192505,0.00026938319206237793,0.19496190547943115,0.11696183681488037,-0.07800006866455078,0.09374397993087769,0.058181822299957275,-0.03556215763092041,0.10121792554855347,0.058780014514923096,-0.04243791103363037
Frog--Tadpole,frog_tadpole,Metamorphic relations,44,moead_mca_minus_moead_ca,0.13392477402679148,0.12325987909470815,-0.010664894932083335,17,13,-4,0.0031144210183587095,0.0011260662134951467,-0.001988354804863563,0.2974185307820638,0.31780691842238107,0.02038838764031725,0.3343735635280609,0.3331526815891266,-0.0012208819389343262,0.2007049024105072,0.0672285258769989,-0.1334763765335083,0.07399678230285645,0.03906634449958801,-0.03493043780326843,0.12670812010765076,0.02816218137741089,-0.09854593873023987
Frog--Tadpole,frog_tadpole,Metamorphic relations,55,moead_mca_minus_moead_ca,0.13531981149458883,0.1272577651927742,-0.008062046301814618,23,9,-14,0.0024996686821837917,0.0027182205965955754,0.0002185519144117837,0.3111897190411886,0.317389773329099,0.006200054287910428,0.3400977849960327,0.3350525200366974,-0.005045264959335327,0.16585621237754822,0.09966453909873962,-0.0661916732788086,0.07578176259994507,0.04833027720451355,-0.02745148539543152,0.09007444977760315,0.051334261894226074,-0.038740187883377075
