"semantic_pair","semantic_pair_slug","category","strategy","method","seed","run","n_solutions","n_non_dominated","hypervolume","spacing","population_average_worst_similarity","best_max_min_similarity","objective_space_extent","similarity_extent_objective_1","similarity_extent_objective_2","prompt_1","prompt_2","evaluation_steps","evaluation_repeats","rollout_rng_seed"
"Butterfly--Caterpillar","butterfly_caterpillar","Metamorphic relations","moead_ca","MOEA/D-CA","11","moead_ca1","30","22","0.12234716252184352","0.004081978963014553","0.29276396135489147","0.3232680857181549","0.17938518524169922","0.09394216537475586","0.08544301986694336","a colorful butterfly with symmetric wings","a green caterpillar","96","4","21000033"
"Butterfly--Caterpillar","butterfly_caterpillar","Metamorphic relations","moead_ca","MOEA/D-CA","22","moead_ca2","30","19","0.1253088754239311","0.009676501446213254","0.2783123150467873","0.31206637620925903","0.2500607818365097","0.13175761699676514","0.11830316483974457","a colorful butterfly with symmetric wings","a green caterpillar","96","4","32000066"
"Butterfly--Caterpillar","butterfly_caterpillar","Metamorphic relations","moead_ca","MOEA/D-CA","33","moead_ca3","30","16","0.12636191740193148","0.008709857918589404","0.28743351151545843","0.32297760248184204","0.2070099264383316","0.11490578949451447","0.09210413694381714","a colorful butterfly with symmetric wings","a green caterpillar","96","4","43000099"
"Butterfly--Caterpillar","butterfly_caterpillar","Metamorphic relations","moead_ca","MOEA/D-CA","44","moead_ca4","30","15","0.13058772335077862","0.004317950918254851","0.2935562322537104","0.3243343234062195","0.2295893430709839","0.11914417147636414","0.11044517159461975","a colorful butterfly with symmetric wings","a green caterpillar","96","4","54000132"
"Butterfly--Caterpillar","butterfly_caterpillar","Metamorphic relations","moead_ca","MOEA/D-CA","55","moead_ca5","30","21","0.12462332074118532","0.0029000746504161032","0.2824498330553373","0.3150843381881714","0.2389747053384781","0.11743739247322083","0.12153731286525726","a colorful butterfly with symmetric wings","a green caterpillar","96","4","65000165"
"Butterfly--Caterpillar","butterfly_caterpillar","Metamorphic relations","moead_mca","MOEA/D-MCA","11","moead_mca1","30","15","0.12170512989523896","0.0015309059881656035","0.3170880844195684","0.33682557940483093","0.06610041856765747","0.04697376489639282","0.01912665367126465","a colorful butterfly with symmetric wings","a green caterpillar","96","4","21000033"
"Butterfly--Caterpillar","butterfly_caterpillar","Metamorphic relations","moead_mca","MOEA/D-MCA","22","moead_mca2","30","9","0.12520466274089337","0.00017887976302045555","0.3290698856115341","0.34932631254196167","0.07433545589447021","0.029908359050750732","0.04442709684371948","a colorful butterfly with symmetric wings","a green caterpillar","96","4","32000066"
"Butterfly--Caterpillar","butterfly_caterpillar","Metamorphic relations","moead_mca","MOEA/D-MCA","33","moead_mca3","30","6","0.11643100185409239","0.0008155864640421108","0.2988939454158147","0.3160211741924286","0.11245307326316833","0.05073845386505127","0.061714619398117065","a colorful butterfly with symmetric wings","a green caterpillar","96","4","43000099"
"Butterfly--Caterpillar","butterfly_caterpillar","Metamorphic relations","moead_mca","MOEA/D-MCA","44","moead_mca4","30","12","0.11680218412149124","0.003998941587882194","0.31687218844890597","0.32973286509513855","0.06529074907302856","0.031480759382247925","0.03380998969078064","a colorful butterfly with symmetric wings","a green caterpillar","96","4","54000132"
"Butterfly--Caterpillar","butterfly_caterpillar","Metamorphic relations","moead_mca","MOEA/D-MCA","55","moead_mca5","30","9","0.1334595145453772","0.0007852296711904999","0.32824135621388756","0.3573460876941681","0.12652096152305603","0.055953770875930786","0.07056719064712524","a colorful butterfly with symmetric wings","a green caterpillar","96","4","65000165"
"Frog--Tadpole","frog_tadpole","Metamorphic relations","moead_ca","MOEA/D-CA","11","moead_ca1","30","18","0.13458731203026275","0.004749395948784568","0.30276652971903484","0.33918094635009766","0.19810286164283752","0.08511954545974731","0.11298331618309021","a green frog","a brown tadpole","96","4","21000033"
"Frog--Tadpole","frog_tadpole","Metamorphic relations","moead_ca","MOEA/D-CA","22","moead_ca2","30","17","0.1342556431472266","0.003372041042575481","0.30633490681648257","0.338766485452652","0.19841837882995605","0.08721071481704712","0.11120766401290894","a green frog","a brown tadpole","96","4","32000066"
"Frog--Tadpole","frog_tadpole","Metamorphic relations","moead_ca","MOEA/D-CA","33","moead_ca3","30","19","0.13468267041151094","0.0045450249741286804","0.29756865799427035","0.33447393774986267","0.19496190547943115","0.09374397993087769","0.10121792554855347","a green frog","a brown tadpole","96","4","43000099"
"Frog--Tadpole","frog_tadpole","Metamorphic relations","moead_ca","MOEA/D-CA","44","moead_ca4","30","17","0.13392477402679148","0.0031144210183587095","0.2974185307820638","0.3343735635280609","0.2007049024105072","0.07399678230285645","0.12670812010765076","a green frog","a brown tadpole","96","4","54000132"
